Number,Time,Si
840,4.22511,63561.19118
841,4.23011,71403.35676
842,4.23512,64968.39809
843,4.24013,68788.75635
844,4.24514,66978.9678
845,4.25014,67984.37362
846,4.25515,72006.80354
847,4.26016,62154.14227
848,4.26516,63762.21106
849,4.27017,71001.07504
850,4.27518,66777.89632
851,4.28019,61953.14818
852,4.28519,64365.29006
853,4.2902,61752.15732
854,4.29521,60747.25134
855,4.30022,64566.32285
856,4.30522,65973.64263
857,4.31023,70598.80624
858,4.31524,71001.07504
859,4.32025,68185.46446
860,4.32525,68989.86009
861,4.33026,66375.76302
862,4.33527,65973.64263
863,4.34028,55121.26679
864,4.34528,63762.21106
865,4.35029,69794.30735
866,4.3553,62757.14389
867,4.36031,61350.18525
868,4.36531,63963.23417
869,4.37032,70397.67668
870,4.37533,63159.16109
871,4.38034,60747.25134
872,4.38534,64566.32285
873,4.39035,72409.11753
874,4.39536,69593.1907
875,4.40037,68788.75635
876,4.40537,57331.17373
877,4.41038,63963.23417
878,4.41539,60144.34643
879,4.4204,70196.55034
880,4.4254,66576.82806
881,4.43041,65571.53514
882,4.43542,66777.89632
883,4.44043,63159.16109
884,4.44543,57130.25699
885,4.45044,73414.959
886,4.45545,65772.58727
887,4.46046,65571.53514
888,4.46546,69995.42723
889,4.47047,66174.70121
890,4.47548,64164.26051
891,4.48049,67180.04251
892,4.48549,59541.47053
893,4.4905,65370.48623
894,4.49551,63561.19118
895,4.50052,59943.38458
896,4.50552,63963.23417
897,4.51053,66576.82806
898,4.51554,61551.16967
899,4.52054,66174.70121
900,4.52555,72409.11753
901,4.53056,60948.22609
902,4.53557,63963.23417
903,4.54057,73414.959
904,4.54558,74823.27265
905,4.55059,64566.32285
906,4.5556,64566.32285
907,4.5606,67381.12045
908,4.56561,64968.39809
909,4.57062,64164.26051
910,4.57563,63561.19118
911,4.58063,61551.16967
912,4.58564,71403.35676
913,4.59065,59541.47053
914,4.59566,61149.20406
915,4.60066,58938.62364
916,4.60567,64968.39809
917,4.61068,68989.86009
918,4.61569,63963.23417
919,4.62069,69392.07727
920,4.6257,67783.28601
921,4.63071,63963.23417
922,4.63572,122396.3148
923,4.64072,80256.82183
924,4.64573,64767.35886
925,4.65074,62556.14013
926,4.65575,62958.15087
927,4.66075,66978.9678
928,4.66576,67180.04251
929,4.67077,62958.15087
930,4.67578,74622.0753
931,4.68078,63360.17452
932,4.68579,67582.20162
933,4.6908,68788.75635
934,4.69581,66174.70121
935,4.70081,68185.46446
936,4.70582,66576.82806
937,4.71083,74018.50262
938,4.71584,66174.70121
939,4.72084,57130.25699
940,4.72585,60948.22609
941,4.73086,65169.44055
942,4.73587,68386.55853
943,4.74087,68185.46446
944,4.74588,65772.58727
945,4.75089,60747.25134
946,4.75589,128052.5558
947,4.7609,71403.35676
948,4.76591,66174.70121
949,4.77092,72207.95892
950,4.77592,61149.20406
951,4.78093,107661.6532
952,4.78594,76835.42374
953,4.79095,66174.70121
954,4.79595,62958.15087
955,4.80096,65772.58727
956,4.80597,69190.96707
957,4.81098,69593.1907
958,4.81598,65571.53514
959,4.82099,58134.87291
960,4.826,68788.75635
961,4.83101,70598.80624
962,4.83601,57130.25699
963,4.84102,58938.62364
964,4.84603,60747.25134
965,4.85104,103426.1156
966,4.85604,68386.55853
967,4.86105,58134.87291
968,4.86606,63762.21106
969,4.87107,71001.07504
970,4.87607,67582.20162
971,4.88108,108468.5843
972,4.88609,74823.27265
973,4.8911,72811.44443
974,4.8961,71202.21429
975,4.90111,59541.47053
976,4.90612,71001.07504
977,4.91113,71001.07504
978,4.91613,64767.35886
979,4.92114,70598.80624
980,4.92615,68788.75635
981,4.93116,65571.53514
982,4.93616,66978.9678
983,4.94117,59139.56938
984,4.94618,62556.14013
985,4.95119,61752.15732
986,4.95619,65973.64263
987,4.9612,65571.53514
988,4.96621,61149.20406
989,4.97122,65169.44055
990,4.97622,68587.65583
991,4.98123,62556.14013
992,4.98624,64566.32285
993,4.99125,61953.14818
994,4.99625,71403.35676
995,5.00126,73616.13698
996,5.00627,66375.76302
997,5.01127,68386.55853
998,5.01628,62556.14013
999,5.02129,60546.27981
1000,5.0263,66174.70121
1001,5.0313,70799.93903
1002,5.03631,66375.76302
1003,5.04132,69190.96707
1004,5.04633,64566.32285
1005,5.05133,71202.21429
1006,5.05634,65370.48623
1007,5.06135,70598.80624
1008,5.06636,67984.37362
1009,5.07136,63159.16109
1010,5.07637,61350.18525
1011,5.08138,67180.04251
1012,5.08639,68386.55853
1013,5.09139,64365.29006
1014,5.0964,62355.13959
1015,5.10141,68587.65583
1016,5.10642,65571.53514
1017,5.11142,62556.14013
1018,5.11643,67180.04251
1019,5.12144,65571.53514
1020,5.12645,66174.70121
1021,5.13145,59943.38458
1022,5.13646,60747.25134
1023,5.14147,67984.37362
1024,5.14648,113513.0791
1025,5.15148,74219.69028
1026,5.15649,61752.15732
1027,5.1615,61953.14818
1028,5.16651,62757.14389
1029,5.17151,68788.75635
1030,5.17652,61551.16967
1031,5.18153,66576.82806
1032,5.18654,66576.82806
1033,5.19154,62556.14013
1034,5.19655,66777.89632
1035,5.20156,76231.7445
1036,5.20657,69190.96707
1037,5.21157,61752.15732
1038,5.21658,62757.14389
1039,5.22159,66174.70121
1040,5.2266,63159.16109
1041,5.2316,68587.65583
1042,5.23661,55322.15131
1043,5.24162,52108.38544
1044,5.24663,104434.4473
1045,5.25163,61350.18525
1046,5.25664,65772.58727
1047,5.26165,51706.72268
1048,5.26665,55121.26679
1049,5.27166,58335.80576
1050,5.27667,64164.26051
1051,5.28168,58134.87291
1052,5.28668,64767.35886
1053,5.29169,53715.16531
1054,5.2967,65169.44055
1055,5.30171,117146.3707
1056,5.30671,54719.5074
1057,5.31172,71805.65139
1058,5.31673,72207.95892
1059,5.32174,85491.35454
1060,5.32674,59943.38458
1061,5.33175,61752.15732
1062,5.33676,66174.70121
1063,5.34177,70598.80624
1064,5.34677,62154.14227
1065,5.35178,114118.5547
1066,5.35679,92742.7773
1067,5.3618,73213.78425
1068,5.3668,71403.35676
1069,5.37181,113714.9011
1070,5.37682,135126.4397
1071,5.38183,59340.51835
