Number,Time 197Au,197Au
673,3.373,0
674,3.378,0
675,3.383,0
676,3.388,200.0016
677,3.393,0
678,3.398,0
679,3.403,0
680,3.408,0
681,3.413,0
682,3.418,0
683,3.423,0
684,3.428,0
685,3.433,0
686,3.438,0
687,3.443,0
688,3.448,200.0016
689,3.453,0
690,3.458,0
691,3.463,0
692,3.468,0
693,3.473,0
694,3.478,0
695,3.483,200.0016
696,3.488,0
697,3.493,0
698,3.498,0
699,3.503,0
700,3.508,0
701,3.513,200.0016
702,3.518,0
703,3.523,200.0016
704,3.528,0
705,3.533,200.0016
706,3.538,0
707,3.543,0
708,3.548,0
709,3.553,0
710,3.558,0
711,3.563,200.0016
712,3.568,200.0016
713,3.573,0
714,3.578,0
715,3.583,0
716,3.588,0
717,3.593,0
718,3.598,0
719,3.603,200.0016
720,3.608,0
721,3.613,0
722,3.618,0
723,3.623,400.0064001
724,3.628,0
725,3.633,200.0016
726,3.638,0
727,3.643,0
728,3.648,0
729,3.653,200.0016
730,3.658,200.0016
731,3.663,0
732,3.668,0
733,3.673,0
734,3.678,0
735,3.683,200.0016
736,3.688,0
737,3.693,0
738,3.698,200.0016
739,3.703,0
740,3.708,0
741,3.713,0
742,3.718,0
743,3.723,0
744,3.728,0
745,3.733,0
746,3.738,0
747,3.743,0
748,3.748,200.0016
749,3.753,0
750,3.758,0
751,3.763,0
752,3.768,0
753,3.773,0
754,3.778,600.0144003
755,3.783,0
756,3.788,200.0016
757,3.793,0
758,3.798,0
759,3.803,0
760,3.808,200.0016
761,3.813,0
762,3.818,0
763,3.823,0
764,3.828,0
765,3.833,0
766,3.838,0
767,3.843,200.0016
768,3.848,200.0016
769,3.853,0
770,3.858,0
771,3.863,0
772,3.868,0
773,3.873,0
774,3.878,0
775,3.883,0
776,3.888,0
777,3.893,200.0016
778,3.898,0
779,3.903,0
780,3.908,0
781,3.913,0
782,3.918,0
783,3.923,0
784,3.928,0
785,3.933,0
786,3.938,0
787,3.943,0
788,3.948,0
789,3.953,200.0016
790,3.958,0
791,3.963,0
792,3.968,0
793,3.973,0
794,3.978,200.0016
795,3.983,0
796,3.988,0
797,3.993,0
798,3.998,0
799,4.003,0
800,4.008,200.0016
801,4.013,0
802,4.018,0
803,4.023,200.0016
804,4.028,0
805,4.034,0
806,4.039,0
807,4.044,0
808,4.049,200.0016
809,4.054,0
810,4.059,0
811,4.064,0
812,4.069,0
813,4.074,0
814,4.079,200.0016
815,4.084,0
816,4.089,0
817,4.094,0
818,4.099,0
819,4.104,0
820,4.109,0
821,4.114,0
822,4.119,0
823,4.124,0
824,4.129,0
825,4.134,0
826,4.139,0
827,4.144,0
828,4.149,0
829,4.154,0
830,4.159,0
831,4.164,0
832,4.169,200.0016
833,4.174,200.0016
834,4.179,0
835,4.184,0
836,4.189,200.0016
837,4.194,0
838,4.199,0
839,4.204,0
840,4.209,200.0016
841,4.214,0
842,4.219,0
843,4.224,0
844,4.229,0
845,4.234,0
846,4.239,0
847,4.244,0
848,4.249,0
849,4.254,0
850,4.259,0
851,4.264,200.0016
852,4.269,0
853,4.274,0
854,4.279,0
855,4.284,0
856,4.289,0
857,4.294,200.0016
858,4.299,0
859,4.304,0
860,4.309,0
861,4.314,0
862,4.319,0
863,4.324,0
864,4.329,0
865,4.334,0
866,4.339,200.0016
867,4.344,0
868,4.349,0
869,4.354,0
870,4.359,67984.37362
871,4.364,0
872,4.369,0
873,4.374,0
874,4.379,200.0016
875,4.384,0
876,4.389,0
877,4.394,200.0016
878,4.399,200.0016
879,4.404,0
880,4.409,0
881,4.414,0
882,4.419,200.0016
883,4.424,0
884,4.429,0
885,4.434,0
886,4.439,0
887,4.444,0
888,4.449,0
889,4.454,0
890,4.459,0
891,4.464,0
892,4.469,200.0016
893,4.474,0
894,4.479,0
895,4.484,0
896,4.489,0
897,4.494,0
898,4.499,0
899,4.504,0
900,4.509,0
901,4.514,0
902,4.519,200.0016
903,4.524,0
904,4.529,200.0016
905,4.534,0
906,4.539,0
907,4.544,0
908,4.549,0
909,4.554,200.0016
910,4.559,0
911,4.564,0
912,4.569,0
913,4.574,0
914,4.579,0
915,4.584,0
916,4.589,0
917,4.594,200.0016
918,4.599,0
919,4.604,0
920,4.609,0
